"filename", "language", "JavaScript", "CSS", "SCSS", "HTML", "Markdown", "XML", "Batch", "JSON", "Properties", "Java", "Less", "comment", "blank", "total"
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\css\bootstrap-theme.min.css", "CSS", 0, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62, 479
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\css\bootstrap.css", "CSS", 0, 6742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 6758
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\css\bootstrap.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\css\jquery-ui.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 8
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\css\materialdesignicons.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\css\style.min.css", "CSS", 0, 4139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 72, 4296
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 288
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\fonts\materialdesignicons.svg", "XML", 0, 0, 0, 0, 0, 6150, 0, 0, 0, 0, 0, 0, 1, 6151
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\Chart.js", "JavaScript", 13616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2466, 2880, 18962
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-colorpicker\bootstrap-colorpicker.js", "JavaScript", 1023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 34, 1107
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-colorpicker\bootstrap-colorpicker.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-colorpicker\css\bootstrap-colorpicker.css", "CSS", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 222
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-colorpicker\css\bootstrap-colorpicker.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 10
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\bootstrap-datepicker.js", "JavaScript", 1830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 173, 2090
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\bootstrap-datepicker.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 9
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\bootstrap-datepicker3.css", "CSS", 0, 673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 681
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\bootstrap-datepicker3.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.ar.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.az.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.bg.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.bs.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.ca.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\GitBox\ticket_booking_system\Techprototype\code\server\src\main\resource\static\js\bootstrap-datepicker\locales\bootstrap-datepicker.cs.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
